SDAccel Timeline Trace
Generated on: 2019-09-05 05:59:04
Msec since Epoch: 1567646944244
Profiled application: FinalImplementation.exe
Target platform: Xilinx
Tool version: 2018.3


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
8.559844,clGetPlatformIDs|General,START,,,,,,,,,,,0,
10.705366,clGetPlatformIDs|General,END,,,,,,,,,,,0,
10.733215,clGetPlatformIDs|General,START,,,,,,,,,,,1,
10.744044,clGetPlatformIDs|General,END,,,,,,,,,,,1,
10.768081,clGetPlatformInfo|General,START,,,,,,,,,,,2,
10.780235,clGetPlatformInfo|General,END,,,,,,,,,,,2,
10.803788,clGetPlatformInfo|General,START,,,,,,,,,,,3,
10.813466,clGetPlatformInfo|General,END,,,,,,,,,,,3,
10.896857,clGetDeviceIDs|General,START,,,,,,,,,,,4,
10.915587,clGetDeviceIDs|General,END,,,,,,,,,,,4,
10.925757,clGetDeviceIDs|General,START,,,,,,,,,,,5,
10.93582,clGetDeviceIDs|General,END,,,,,,,,,,,5,
10.949658,clRetainDevice|General,START,,,,,,,,,,,6,
10.962311,clRetainDevice|General,END,,,,,,,,,,,6,
10.974401,clRetainDevice|General,START,,,,,,,,,,,7,
10.985053,clRetainDevice|General,END,,,,,,,,,,,7,
11.002947,clCreateContext|General,START,,,,,,,,,,,8,
11.0278,clCreateContext|General,END,,,,,,,,,,,8,
11.039528,clCreateCommandQueue|General,START,,,,,,,,,,,9,
11.063009,clCreateCommandQueue|General,END,,,,,,,,,,,9,
11.083924,clGetDeviceInfo|General,START,,,,,,,,,,,10,
11.095806,clGetDeviceInfo|General,END,,,,,,,,,,,10,
11.106233,clGetDeviceInfo|General,START,,,,,,,,,,,11,
11.121637,clGetDeviceInfo|General,END,,,,,,,,,,,11,
11.576577,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
90.497818,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
90.549035,clCreateKernel|General,START,,,,,,,,,,,13,
90.598862,clCreateKernel|General,END,,,,,,,,,,,13,
90.612837,clCreateKernel|General,START,,,,,,,,,,,14,
90.630655,clCreateKernel|General,END,,,,,,,,,,,14,
90.640768,clCreateKernel|General,START,,,,,,,,,,,15,
90.655118,clCreateKernel|General,END,,,,,,,,,,,15,
90.663623,clCreateKernel|General,START,,,,,,,,,,,16,
90.676713,clCreateKernel|General,END,,,,,,,,,,,16,
92.551748,clCreateBuffer|General,START,,,,,,,,,,,17,
92.612754,clCreateBuffer|General,END,,,,,,,,,,,17,
92.626995,clCreateBuffer|General,START,,,,,,,,,,,18,
92.63699,clCreateBuffer|General,END,,,,,,,,,,,18,
92.646073,clCreateBuffer|General,START,,,,,,,,,,,19,
92.655023,clCreateBuffer|General,END,,,,,,,,,,,19,
92.662696,clCreateBuffer|General,START,,,,,,,,,,,20,
92.671075,clCreateBuffer|General,END,,,,,,,,,,,20,
92.679036,clCreateBuffer|General,START,,,,,,,,,,,21,
92.68758,clCreateBuffer|General,END,,,,,,,,,,,21,
